,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,sc_md,sc_md_pic,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,T_C,Indiv Order
0,2026-05-08 20:00:00,94,Europe Cup,Lietuva,18.9077,21.3318,15.7564,17.3414,14.5563,17.5,16.25,12.75,7.25,19.5,22.0,16.25,9.0,10.5,Normal,0,0,2-5-3,2,5,3,0,10,12,ZQUEEEQHUQHHPU,130003000,H,Liechtenstein,10.25,22.0,23.25,22.75,14.0,12.75,12.0,9.0,12.0,Counter-attacks,21,0,4-4-2,4,4,2,1,-10,14,ZQUEUUTHQEQQQE,34001000.0,A,40821766,Lie,2026-05-08,N,CC,AoA,NNO---MNNNMNNN
1,2026-05-01 20:00:00,94,Europe Cup,Lietuva,15.8311,13.8522,15.5837,15.1244,12.6954,16.5,16.5,17.5,16.5,16.0,14.0,15.75,8.25,11.25,Normal,0,0,3-5-2,3,5,2,5,10,12,ZQEUEUQHHQHHEU,1111100,H,San Marino,17.5,8.75,12.5,7.75,12.5,19.5,12.75,7.0,9.25,Attack in the middle,25,0,2-5-3,2,5,3,2,10,17,UEUEHEHUQUHQQW,1130103000.0,A,40821742,San,2026-05-01,N,CC,att,NN-N-NOOOOON-N
2,2026-04-27 20:00:00,94,Europe Cup,Lietuva,14.3899,12.3702,13.6325,14.865,12.4777,11.0,21.75,24.25,21.5,14.25,12.25,13.5,7.75,11.25,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,12,ZQUEUUHHEHQUEH,0,A,England,18.75,10.5,12.75,13.25,12.75,19.5,16.75,10.0,11.0,Normal,0,0,2-5-3,2,5,3,1,10,13,ZEQEEUQHQHQUQP,1030013000.0,H,40821716,Eng,2026-04-27,CA,CC,442ca,NNN-NNNN-NNN-N
3,2026-04-24 20:00:00,94,Europe Cup,Lietuva,14.5753,13.0676,14.0728,14.8875,12.4966,10.25,21.75,24.25,21.75,14.5,13.0,14.0,8.25,11.5,Counter-attacks,21,0,4-4-2,4,4,2,2,-10,11,ZQUEUUQQEQQUEH,0,A,Bulgaria,16.0,15.5,15.5,14.75,17.5,17.75,14.25,10.25,11.75,Normal,0,0,3-5-2,3,5,2,2,4,13,ZTEUEUHHHHQQQE,100300.0,H,40821693,Bul,2026-04-24,CA,CC,442ca,NNN-NNNN-NNN-N
4,2026-04-20 20:00:00,94,Europe Cup,Lietuva,20.6889,11.8961,20.6889,14.5903,12.2471,11.0,15.25,13.5,15.25,20.0,11.5,20.0,8.25,11.0,Attack in wings,24,0,3-5-2,3,5,2,2,10,12,ZUEUEQQQHHHHEU,1000144,H,Danmark,9.5,21.75,24.5,21.5,14.5,12.75,14.0,9.5,12.5,Counter-attacks,20,0,4-4-2,4,4,2,0,-7,15,UUHETUQHHETUQE,0.0,A,40821669,Dan,2026-04-20,AOW,CC,att,NN-N-NONNNOW-W
5,2026-04-17 20:00:00,94,Europe Cup,Lietuva,14.4289,12.3302,13.6419,14.9801,12.5743,8.5,22.25,24.5,21.75,13.75,11.75,13.0,8.0,11.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,11,ZQUEUUQQEHQWEH,0,A,Liechtenstein,6.75,20.25,20.5,20.0,16.5,12.75,16.25,9.25,11.5,Counter-attacks,20,0,4-3-3,4,3,3,1,-5,11,ZQUEQUQEQEQQPQ,3400010404.0,H,40821646,Lie,2026-04-17,CA,CC,442ca,NNN-NNNN-NNN-N
6,2026-04-10 20:00:00,94,Friendly,Lietuva,,,,,,7.5,14.0,14.5,14.5,13.25,14.0,13.5,7.5,10.25,Normal,0,0,3-5-2,3,5,2,1,10,8,ZPETEQHHQQHHEH,0,H,China,10.25,17.0,19.5,18.75,13.75,12.5,12.25,6.75,10.25,Normal,0,0,4-4-2,4,4,2,2,0,10,UUEHUQQTUEQQEW,0.0,A,40844485,Chi,2026-04-10,N,F,att,NN-N-NNNNNNN-N
7,2026-04-03 20:00:00,94,Friendly,Lietuva,,,,,,10.25,17.0,16.5,17.25,12.0,10.75,12.25,6.75,9.75,Normal,0,0,3-5-2,3,5,2,2,0,10,ZHEUEPUUHHQHEP,0,H,Jamaica,5.25,20.0,20.75,19.25,8.75,8.75,10.75,9.0,11.0,Pressing,11,0,4-5-1,4,5,1,0,-10,12,ZQHEHTQTPTUEEW,10020010.0,A,40797098,Jam,2026-04-03,N,F,bal,NN-N-NNNNNNN-N
8,2026-03-27 20:00:00,92,Friendly,Lietuva,,,,,,10.25,15.75,15.75,17.25,12.5,13.0,13.0,7.25,10.0,Normal,0,0,3-5-2,3,5,2,3,0,10,ZHEUEPUUHHQHEH,0,H,Slovensko,7.25,23.0,22.0,22.25,12.25,9.0,10.25,9.0,13.25,Counter-attacks,22,0,5-4-1,5,4,1,0,-5,11,ZUUUHUQQEQHEUE,404000000.0,A,40636481,Slo,2026-03-27,N,F,bal,NN-N-NNNNNNN-N
9,2026-03-20 20:00:00,92,Friendly,Lietuva,,,,,,10.0,17.25,16.75,18.25,12.0,13.5,13.5,7.5,10.25,Normal,0,0,3-5-2,3,5,2,2,0,10,ZHEUEPUUHHQQEH,0,H,Malaysia,7.75,17.25,15.75,17.25,10.25,11.75,10.75,7.75,10.5,Normal,0,0,3-5-2,3,5,2,1,0,10,ZUEHETUUUQZUEH,0.0,A,40358979,Mal,2026-03-20,N,F,bal,NN-N-NNNNNNN-N
