,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,sc_md,sc_md_pic,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,T_C,Indiv Order
0,2026-04-27 23:30:00+02:00,94,America Cup,Argentina,15.5082,12.7117,18.8133,15.6757,13.1582,10.25,21.75,24.0,21.5,15.25,12.5,18.5,8.5,11.75,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,14,ZHHEHTQQEUQQEW,104100,A,Colombia,13.75,12.25,12.25,13.5,15.75,18.75,18.5,8.75,10.5,Play creatively,24,0,3-5-2,3,5,2,1,10,13,ZUEUEUQHQUHEQH,111000,H,40822838,Col,2026-04-27,CA,CC,442ca,NNN-NNON-WON-N
1,2026-04-24 23:30:00+02:00,94,America Cup,Argentina,18.0586,16.9642,12.3127,20.2224,16.9747,14.75,15.5,14.25,11.75,16.5,15.5,11.25,9.0,10.75,Play creatively,22,0,2-5-3,2,5,3,7,10,15,ZTEEHEUQQQQPQH,134003000,H,Guatemala,7.25,22.0,23.25,27.5,17.75,5.75,11.0,9.0,12.5,Counter-attacks,22,0,5-4-1,5,4,1,0,-10,13,ZQHHHRUQEHTUEE,402204204,A,40822824,Gua,2026-04-24,PC,CC,att,NN--O-MWNNMNNN
2,2026-04-20 23:30:00+02:00,94,America Cup,Argentina,13.4515,13.4515,12.8911,18.4467,15.4842,10.25,23.0,25.75,22.5,12.0,12.0,11.5,8.25,11.75,Counter-attacks,18,0,4-4-2,4,4,2,3,-10,14,ZHHEHTUQEHQWEH,300300,A,Uruguay,13.75,14.25,14.75,14.5,14.5,21.25,19.5,9.25,11.0,Normal,0,0,3-4-3,3,4,3,1,6,12,ZUHEEUQEHUQUPU,1303010000,H,40822809,Uru,2026-04-20,CA,CC,442ca,NNN-NNMN-NMN-N
3,2026-04-17 23:30:00+02:00,94,America Cup,Argentina,18.3972,18.9463,16.2005,17.8833,15.0112,10.75,16.75,16.5,15.75,16.75,17.25,14.75,8.5,11.0,Normal,0,0,3-5-2,3,5,2,0,0,14,ZTEHEHUHQHQPEH,10000,H,Belize,6.75,23.75,26.75,23.5,11.25,9.75,12.75,7.75,12.25,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,15,ZHQEHZZEPHQEHQ,0,A,40822792,Bel,2026-04-17,N,CC,bal,NN-N-NNNONNN-N
4,2026-04-10 20:00:00+02:00,94,Friendly,Argentina,,,,,,3.5,17.25,20.0,18.5,13.5,13.0,13.0,8.0,11.0,Normal,0,0,4-4-2,4,4,2,2,0,11,UTQEQUUHEQUQEU,0,H,Prathet Thai,7.5,17.5,17.25,15.75,14.0,15.5,14.75,8.0,10.25,Normal,0,0,3-4-3,3,4,3,2,0,8,ZZEUEUUZEHQQQU,0,A,40839261,Pra,2026-04-10,N,F,bal,NNN-NNNN-NNN-N
5,2026-04-03 20:00:00+02:00,94,Friendly,Argentina,,,,,,9.75,17.0,17.5,17.0,11.75,12.5,11.75,8.0,11.0,Normal,0,0,3-5-2,3,5,2,1,0,13,ZTEHETHQQHHHEU,3000300,A,Zambia,7.75,16.25,17.0,17.5,12.25,13.25,12.5,7.25,9.25,Normal,0,0,4-3-3,4,3,3,0,0,8,ZQPEUTHEHETUQQ,0,H,40808183,Zam,2026-04-03,N,F,bal,NN-N-NMNNNMN-N
6,2026-03-27 20:00:00+01:00,92,Friendly,Argentina,,,,,,6.25,22.75,25.5,22.5,10.0,10.0,9.75,8.0,11.25,Counter-attacks,18,0,4-4-2,4,4,2,4,-5,11,ZTTEUTHQEQHQWE,300300,A,Kyrgyz Republic,7.75,9.5,13.0,9.25,7.75,10.0,7.75,6.5,8.5,Play creatively,17,0,3-5-2,3,5,2,0,0,10,ZEQHUEHHHHUEQU,0,H,40698527,Kyr,2026-03-27,CA,F,442ca,NNN-NNMN-NMNN-
7,2026-03-20 20:00:00+01:00,92,World Cup,Argentina,14.4058,12.4666,17.1762,16.2562,13.6455,15.0,22.25,24.75,22.25,13.0,11.25,15.5,8.0,11.75,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,20,ZUHEHHUQEQQPQE,4300,N,România,18.75,18.25,18.25,18.25,13.0,15.5,13.5,7.75,10.5,Normal,0,0,3-5-2,3,5,2,2,0,13,UUEUEUQQUHUEQW,3000300,A,40201627,Rom,2026-03-20,CA,WC5,442ca,NNN-NNNN-WMNN-
8,2026-03-16 20:00:00+01:00,92,World Cup,Argentina,13.3234,14.1562,12.7683,17.6679,14.8304,12.0,22.75,25.75,22.75,12.0,12.75,11.5,8.5,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,19,ZHHEQUQHEQUWHE,2002300300,N,San Marino,12.0,22.25,24.75,22.75,15.25,14.25,14.0,8.75,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-10,20,UHUEHUQQEUHEPQ,2000000,H,40201618,San,2026-03-16,CA,WC5,442ca,NDN-NDMN-NMNN-
9,2026-03-13 20:00:00+01:00,92,World Cup,Argentina,15.9186,25.4697,16.7145,21.7497,18.2567,14.0,8.75,13.5,8.75,15.0,24.0,15.75,8.5,10.5,Attack in the middle,25,0,2-5-3,2,5,3,2,10,16,ZEHEQEHHQHUHPH,1131013000,N,Dawlat Qatar,13.75,11.0,14.0,10.0,16.0,16.0,8.5,8.5,10.25,Normal,0,0,3-5-2,3,5,2,5,10,15,ZUHEPEZHUUHWEQ,1113010300,A,40201624,Daw,2026-03-13,AIM,WC5,AoA,N-O-O-MONOMNNN
10,2026-03-06 20:00:00+01:00,92,World Cup,Argentina,12.8659,9.9776,11.0279,16.3183,13.6976,10.5,23.25,26.5,23.25,12.25,9.5,10.5,8.25,12.0,Counter-attacks,17,0,4-4-2,4,4,2,2,-10,20,ZUHEQUQQEUQEHH,2002300300,N,Suomi,14.75,13.25,9.25,13.0,24.5,12.5,23.75,12.25,13.0,Attack in wings,22,0,2-5-3,2,5,3,2,10,14,ZQEEEHQQQQQQTQ,1104040424,A,40123274,Suo,2026-03-06,CA,WC4,442ca,NDN-NDMN-NM-NN
11,2026-03-02 20:00:00+01:00,92,World Cup,Argentina,13.0055,13.0055,13.5364,15.4485,12.9674,9.25,22.5,26.0,22.75,12.25,12.25,12.75,9.0,12.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,20,ZUHEHUHUEQQEHH,300300,N,România,13.5,14.0,13.75,11.25,19.25,23.25,14.5,10.0,11.0,Normal,0,0,2-5-3,2,5,3,1,10,15,UPEEUEQUQHUPQH,103000,H,40123267,Rom,2026-03-02,CA,WC4,442ca,NNN-NNMN-NM-NN
12,2026-02-27 20:00:00+01:00,92,World Cup,Argentina,12.3705,13.1773,13.1773,14.757,12.387,8.0,23.5,26.75,23.5,11.5,12.25,12.25,9.25,12.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,20,ZUHEHUHUEQUEHH,2002300300,N,Norge,10.75,17.0,16.5,17.25,17.5,18.0,17.25,10.5,12.5,Normal,0,0,3-4-3,3,4,3,1,4,14,UUEHEUQHEHHHWQ,0,A,40123260,Nor,2026-02-27,CA,WC4,442ca,NDN-NDMN-NM-NN
13,2026-02-20 20:00:00+01:00,92,World Cup,Argentina,16.9525,12.9162,13.1853,19.2921,16.1938,13.75,22.5,25.25,22.25,15.75,12.0,12.25,9.0,12.25,Counter-attacks,18,0,4-4-2,4,4,2,5,-10,16,ZUQEQUUUEQQPHE,340300,N,Italia,16.25,14.25,15.0,15.25,14.0,17.0,15.25,8.75,11.0,Play creatively,24,0,3-5-2,3,5,2,3,0,15,UUEUEUQQHHQEWQ,103000300,A,40032687,Ita,2026-02-20,CA,WC3,442ca,NNN-NNMW-NMNN-
14,2026-02-16 20:00:00+01:00,92,World Cup,Argentina,19.7855,16.2131,15.6635,21.6823,18.2001,16.0,17.0,16.25,16.75,18.0,14.75,14.25,9.0,12.0,Normal,0,0,3-5-2,3,5,2,4,5,16,ZUEQEUUUHQQUHE,103400300,N,Sverige,10.75,22.75,25.0,22.0,12.5,13.5,12.75,10.0,12.5,Counter-attacks,20,0,4-4-2,4,4,2,2,-10,16,UUUEUUQQEQQQEP,2002300300,H,40032672,Sve,2026-02-16,N,WC3,bal,NN-O-NMWNNMNN-
15,2026-02-13 20:00:00+01:00,92,World Cup,Argentina,15.9945,16.7942,15.7279,21.8435,18.3354,12.25,18.25,18.75,18.25,15.0,15.75,14.75,9.25,12.0,Normal,0,0,3-5-2,3,5,2,2,0,19,ZUEQEUUQQHQHHE,3000300,N,Schweiz,12.0,18.5,18.0,18.5,14.75,15.75,14.75,9.25,11.75,Normal,0,0,3-5-2,3,5,2,4,-2,17,UQEUEUHQQHQEWU,3010300,A,40032656,Sch,2026-02-13,N,WC3,bal,NN-N-NMNNNMNN-
16,2026-02-06 20:00:00+01:00,92,World Cup,Argentina,13.1262,11.8393,12.6115,18.1564,15.2405,14.0,21.25,22.75,21.0,12.75,11.5,12.25,8.5,12.0,Normal,0,0,3-5-2,3,5,2,1,-10,20,ZTEQEUQpQQUUEH,200300,H,Italia,9.75,23.0,25.25,22.75,13.5,12.0,13.5,8.5,11.75,Counter-attacks,22,0,5-3-2,5,3,2,0,-10,15,UUUUUHQEQEQEQQ,3400000000,A,39851878,Ita,2026-02-06,N,WC2,AoD,NN-N-NNDNNMN-N
17,2026-01-30 20:00:00+01:00,92,World Cup,Argentina,12.6331,12.8909,12.6331,17.9266,15.0476,11.5,22.75,25.75,22.75,12.25,12.5,12.25,9.0,12.25,Counter-attacks,18,0,4-4-2,4,4,2,2,-10,20,ZTHEQUQQEQUUHE,2002320300,A,Nippon,15.0,15.75,15.5,16.25,14.0,16.0,14.25,10.25,11.25,Play creatively,22,0,3-4-3,3,4,3,1,0,13,UUEHEUZQEHQPQQ,3000000,H,39851846,Nip,2026-01-30,CA,WC2,442ca,NDN-NDMD-NMNN-
18,2026-01-26 20:00:00+01:00,92,World Cup,Argentina,17.6975,18.4783,16.136,15.843,13.2986,15.25,17.0,16.25,17.0,17.0,17.75,15.5,9.0,12.0,Normal,0,0,3-5-2,3,5,2,2,4,20,ZTEQEUUQQUQHEU,111300,H,Hellas,11.25,22.25,25.0,22.5,11.25,12.5,11.5,7.5,11.5,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZQUEUUQQEQQUEU,2002300300,A,39851813,Hel,2026-01-26,N,WC2,bal,NN-N-NNOOOMN-N
19,2026-01-23 20:00:00+01:00,92,World Cup,Argentina,12.8774,12.0725,12.6091,21.9589,18.4323,14.0,19.75,22.25,20.25,12.0,11.25,11.75,8.5,12.25,Normal,0,0,3-5-2,3,5,2,2,0,19,ZUEQEUQQQUUHUE,103000300,A,Hellas,13.75,17.5,17.5,16.5,17.0,16.0,13.5,7.75,11.0,Normal,0,0,3-5-2,3,5,2,0,1,13,ZUEUEQQQHQQHUE,300000,H,39851782,Hel,2026-01-23,N,WC2,bal,NN-O-NMNNNMNN-
20,2026-01-19 20:00:00+01:00,92,World Cup,Argentina,14.9638,21.6441,18.7048,19.929,16.7284,14.0,10.5,14.0,14.5,14.0,20.25,17.5,9.0,10.75,Normal,0,0,2-5-3,2,5,3,2,10,19,ZETEEUQQUUUHQU,1030013000,H,Nippon,12.5,19.75,20.5,19.25,10.25,12.0,10.5,10.0,12.0,Normal,0,0,3-5-2,3,5,2,2,-10,12,UUEHEUZHpHHWEW,3020300,A,39851751,Nip,2026-01-19,N,WC2,att,N-O--NMNNOMNNN
21,2026-01-16 20:00:00+01:00,92,World Cup,Argentina,12.1194,11.5686,12.3949,18.8567,15.8283,10.0,23.0,26.75,22.75,11.0,10.5,11.25,8.75,12.5,Counter-attacks,19,0,4-4-2,4,4,2,2,-10,19,ZUTEQTUQEUQHQE,300300,A,Italia,12.75,17.0,16.0,16.75,15.75,17.25,15.5,8.5,11.0,Normal,0,0,3-5-2,3,5,2,0,0,14,UHEUEUQHQHQPQE,3000300,H,39851718,Ita,2026-01-16,CA,WC2,442ca,NNN-NNMN-NMNN-
