,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,sc_md,sc_md_pic,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,T_C,Indiv Order
0,2026-09-11 20:00:00+02:00,94,Nations Cup,Ireland,12.7081,12.4589,12.4589,13.4009,11.2487,11.25,20.5,22.25,20.25,12.75,12.5,12.5,8.5,11.5,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,12,ZZHEHUQHEUUWEH,300300,A,Deutschland,8.75,20.5,25.75,20.25,15.25,11.75,15.25,9.75,12.5,Counter-attacks,20,0,4-3-3,4,3,3,1,-10,14,UUUEUUQEEQQQQQ,3000000,H,42050831,Deu,2026-09-11,CA,NC,442ca,NNN-NNMN-NMN-N
1,2026-09-04 20:00:00+02:00,94,Nations Cup,Ireland,14.4951,17.1525,14.7367,14.5922,12.2487,12.25,16.5,15.75,16.5,15.0,17.75,15.25,8.5,10.5,Normal,0,0,3-4-3,3,4,3,0,0,12,ZZEHEUQHEUUWQH,3003000,A,San Marino,10.0,21.75,24.75,22.25,12.0,11.5,11.5,8.25,12.0,Counter-attacks,18,0,4-4-2,4,4,2,1,-10,13,ZUHEUHHQEQHQPE,2002000000,H,42014879,San,2026-09-04,N,NC,343,NN-N-NMN-NMNNN
2,2026-08-28 20:00:00+02:00,94,Nations Cup,Ireland,12.8594,13.354,12.6121,13.6618,11.4677,13.75,18.75,18.0,18.5,13.0,13.5,12.75,8.25,10.75,Normal,0,0,3-5-2,3,5,2,2,0,12,ZZEHEUQUHHQEQH,3000300,H,Ghana,9.75,21.5,24.25,21.5,14.5,7.75,17.75,7.75,11.25,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,13,ZUQEQQHHEQUPEQ,4044,A,41979667,Gha,2026-08-28,N,NC,bal,NN-N-NMNNNM-NN
3,2026-08-21 20:00:00+02:00,94,Nations Cup,Ireland,13.7573,14.003,14.003,13.4149,11.2604,13.5,17.5,16.75,17.25,14.0,14.25,14.25,8.0,10.75,Normal,0,0,3-5-2,3,5,2,0,0,12,ZZEHEUQUHHQEHP,3000300,H,Guam,13.75,19.75,19.75,20.5,11.75,13.5,8.5,8.0,10.75,Normal,0,0,3-5-2,3,5,2,0,-10,13,ZHEHEUTHTUHWQE,3000300,A,41943610,Gua,2026-08-21,N,NC,bal,NN-N-NMNNNM-NN
4,2026-08-14 20:00:00+02:00,94,Nations Cup,Ireland,13.3518,13.8464,13.8464,13.4205,11.2652,13.5,17.25,17.0,17.5,13.5,14.0,14.0,8.25,11.0,Normal,0,0,3-5-2,3,5,2,3,0,12,ZZEHEHQUHQQEHP,3000300,H,Burkina Faso,10.75,18.25,18.0,18.0,10.75,11.25,10.0,7.25,9.75,Normal,0,0,3-5-2,3,5,2,2,-10,9,ZHEHEHQUQHQHWE,3000300,A,41895164,Bur,2026-08-14,N,NC,bal,NN-N-NMNNNM-NN
5,2026-08-07 20:00:00+02:00,94,Nations Cup,Ireland,12.6083,12.8605,13.1127,15.8173,13.277,13.25,17.75,17.75,18.0,12.5,12.75,13.0,8.25,11.25,Normal,0,0,3-5-2,3,5,2,3,0,13,ZZEHEHQUHQQEHW,3000300,A,Algérie,13.25,18.0,17.75,17.75,14.5,12.5,13.25,6.5,10.75,Normal,0,0,3-5-2,3,5,2,1,0,11,ZHEPEQHUZZHTET,20,H,41872831,Alg,2026-08-07,N,NC,bal,NN-N-NMNNNM-NN
6,2026-07-31 20:00:00+02:00,94,Nations Cup,Ireland,14.1272,14.3751,14.3751,10.4937,8.8084,8.75,20.5,20.75,20.25,14.25,14.5,14.5,8.25,10.75,Counter-attacks,19,0,4-3-3,4,3,3,1,-5,12,ZHUEHZQEEHQWQH,3400000000,A,Tanzania,12.5,15.75,17.25,16.75,11.75,13.5,13.0,9.5,12.5,Normal,0,0,3-5-2,3,5,2,2,10,15,ZQEHEHQUHHQUEP,3010300,H,41845843,Tan,2026-07-31,CA,NC,hardca,NMW-NNN--NNNNN
7,2026-07-24 20:00:00+02:00,94,Nations Cup,Ireland,12.6081,11.3473,13.1124,9.5918,8.0514,9.5,21.25,23.25,21.0,12.5,11.25,13.0,6.75,11.0,Counter-attacks,18,0,4-4-2,4,4,2,1,-5,12,ZHHEHUQEHQQPEH,3400000000,H,Guatemala,9.5,21.5,22.25,19.5,13.75,13.75,12.25,9.0,11.25,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,12,ZRHEHQUHETQUQE,0,A,41820609,Gua,2026-07-24,CA,NC,442ca,NMW-NNN-NNNN-N
8,2026-07-17 20:00:00+02:00,94,Nations Cup,Ireland,16.8881,19.9129,17.3922,13.4406,11.282,13.0,13.5,11.25,14.0,16.75,19.75,17.25,8.25,10.0,Normal,0,0,2-5-3,2,5,3,2,10,12,ZHEEEHQUHQQHQP,30003000,H,Cyprus,9.5,15.25,15.0,14.25,7.5,16.75,15.25,7.25,9.5,Normal,0,0,3-4-3,3,4,3,2,5,8,ZPEHEQEpPQQQQU,2022111000,A,41683741,Cyp,2026-07-17,N,NC,att,NN---NMNNNMNNN
9,2026-07-10 20:00:00+02:00,94,Nations Cup,Ireland,11.3283,11.8432,12.1007,14.002,11.7532,12.75,16.5,15.25,16.75,11.0,11.5,11.75,8.5,10.75,Normal,0,0,3-5-2,3,5,2,1,0,12,ZZEHEHQUHQQEQP,103000300,H,Bosna i Hercegovina,10.75,19.25,21.0,21.25,11.25,13.5,11.0,9.25,10.75,Counter-attacks,17,0,4-4-2,4,4,2,0,-10,12,ZQTEUUQUEUUWEU,12300300,A,41345758,Bos,2026-07-10,N,NC,bal,NN-O-NMNNNM-NN
10,2026-07-03 20:00:00+02:00,94,Nations Cup,Ireland,14.1403,14.8845,13.3961,17.2578,14.4862,12.25,17.25,15.5,15.75,14.25,15.0,13.5,8.75,11.0,Normal,0,0,3-5-2,3,5,2,2,0,12,ZZEHEHQUHQQEWH,103000300,A,Brasil,11.0,17.5,17.5,18.25,14.5,14.0,18.0,9.0,11.5,Normal,0,0,3-5-2,3,5,2,5,0,16,ZUEQEQQHQQHEQQ,4000,H,41279477,Bra,2026-07-03,N,NC,bal,NN-O-NMNNNM-NN
11,2026-06-26 20:00:00+02:00,94,Nations Cup,Ireland,13.632,13.8844,13.632,16.4417,13.8012,10.75,17.75,16.75,17.25,13.5,13.75,13.5,8.5,11.0,Normal,0,0,3-5-2,3,5,2,1,0,12,ZZEHEHQUQHQWEH,3000300,A,Honduras,6.75,24.25,30.5,27.75,6.75,5.75,7.25,9.5,13.25,Counter-attacks,19,0,5-4-1,5,4,1,0,-10,11,UQHHTTHQEUUEEP,2000222220,H,41263674,Hon,2026-06-26,N,NC,bal,NN-N-NMNNNMN-N
12,2026-06-19 20:00:00+02:00,94,Friendly,Ireland,,,,,,5.75,18.5,21.25,19.0,12.5,11.25,13.5,7.75,11.25,Normal,0,0,5-3-2,5,3,2,0,0,12,ZZUUHHQEEUQWEW,0,A,Uruguay,6.25,21.75,23.25,21.75,7.75,9.0,10.25,7.75,11.75,Pressing,13,0,4-4-2,4,4,2,0,-10,9,ZZQEQUUpEpHHEU,2402322000,H,41231479,Uru,2026-06-19,N,F,bal,NNNNNNN--NNN-N
13,2026-06-12 20:00:00+02:00,94,Friendly,Ireland,,,,,,8.5,14.25,15.25,17.25,14.0,13.0,14.25,7.5,10.75,Normal,0,0,3-5-2,3,5,2,1,0,12,ZZEEUHQPHUQHEP,0,H,Northern Ireland,6.0,20.5,23.25,20.25,11.0,9.5,10.75,7.25,10.75,Counter-attacks,21,0,5-3-2,5,3,2,0,-9,11,ZHQTTHHEUEHUEW,4300000,A,41192905,Nor,2026-06-12,N,F,bal,NN--NNNNNNNN-N
14,2026-06-05 20:00:00+02:00,94,Europe Cup,Ireland,11.836,18.1318,14.858,17.2139,14.4493,14.25,10.75,14.5,16.25,11.75,18.0,14.75,8.5,10.5,Normal,0,0,3-5-2,3,5,2,3,0,13,ZZEHEHQHHQUEQW,103000300,A,Ukraina,12.0,13.75,12.5,13.5,16.25,17.25,15.75,8.25,10.75,Normal,0,0,2-5-3,2,5,3,5,10,12,ZHEEEZQHUQHPQT,0,H,40821857,Ukr,2026-06-05,N,CC,bal,NN-O-NMNNNM-NN
15,2026-05-29 20:00:00+02:00,94,Europe Cup,Ireland,15.3234,18.44,15.8428,13.6375,11.4473,17.75,13.5,12.0,14.0,14.75,17.75,15.25,9.75,11.5,Normal,0,0,2-5-3,2,5,3,5,10,13,ZHEEEZQHQHUHQP,30003000,H,Magyarország,16.75,8.75,12.5,15.0,13.75,21.25,18.25,9.0,11.0,Normal,0,0,2-5-3,2,5,3,2,8,12,ZEEUEHQUHUUUUQ,1030013000,A,40821834,Mag,2026-05-29,N,CC,att,NN---NMNNNMNNN
16,2026-05-22 20:00:00+02:00,94,Europe Cup,Ireland,12.4132,11.896,12.4132,13.3661,11.2195,10.5,21.0,23.0,20.5,12.0,11.5,12.0,8.75,12.0,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,13,ZZQEHHQHEQQWEQ,0,A,Lëtzebuerg,14.5,16.25,16.0,14.5,16.25,15.0,16.25,9.75,12.0,Normal,0,0,3-5-2,3,5,2,2,4,14,ZZEPEUUQUQQUEP,4300,H,40821810,Lët,2026-05-22,CA,CC,442ca,NNN-NNNN-NNN-N
17,2026-05-15 20:00:00+02:00,94,Europe Cup,Ireland,13.1098,15.1662,13.6239,16.8025,14.104,16.75,16.0,15.75,16.0,12.75,14.75,13.25,8.75,11.25,Normal,0,0,3-5-2,3,5,2,1,0,11,ZHEHEUQUHUQEQW,103000300,A,Deutschland,19.25,13.0,13.5,11.0,15.75,17.25,8.5,11.0,12.0,Play creatively,27,0,3-5-2,3,5,2,2,10,15,ZUEPUEUHQUUQEQ,113000300,H,40821785,Deu,2026-05-15,N,CC,bal,NN-O-NMNNNM-NN
18,2026-05-08 20:00:00+02:00,94,Europe Cup,Ireland,13.7195,15.5315,13.9783,15.0365,12.6216,15.0,16.75,16.0,16.75,13.25,15.0,13.5,8.5,10.75,Normal,0,0,3-5-2,3,5,2,2,0,13,ZUEHEHUZUHQQPE,3000300,H,Česká republika,10.75,21.5,24.5,21.75,14.25,13.75,14.25,10.5,13.25,Counter-attacks,20,0,4-4-2,4,4,2,2,-10,13,UUUEUUUQEQUQEU,0,A,40821761,Čes,2026-05-08,N,CC,bal,NN-N-NMNNNMNN-
