,Match Datetime,campaign,Competition,Team name,sc_ra,sc_ca,sc_la,sc_md,sc_md_pic,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,T_C,Indiv Order
0,2026-07-10 20:00:00,94,Nations Cup,Guam,13.2926,16.553,14.2958,12.6641,10.6302,12.0,15.25,17.0,18.0,13.25,16.5,14.25,8.0,10.25,Normal,0,0,3-5-2,3,5,2,4,0,12,ZHEHEHQHTHTEPT,3010300,H,Al Iraq,11.75,17.75,20.0,19.0,9.25,13.25,16.0,7.75,12.0,Normal,0,0,3-5-2,3,5,2,3,-3,11,ZQEPEHHHHQTHEW,3103001000,A,41345751,Al ,2026-07-10,N,NC,bal,NN-N-NMNONM-NN
1,2026-07-03 20:00:00,94,Nations Cup,Guam,14.5059,15.5239,15.0149,12.4213,10.4264,11.0,16.25,16.5,17.75,14.25,15.25,14.75,7.75,10.5,Normal,0,0,3-5-2,3,5,2,1,6,13,ZHEHEHTTUHQEPU,3000000,H,Pilipinas,7.25,17.75,20.25,18.5,17.25,9.5,5.25,6.5,9.25,Counter-attacks,15,0,4-4-2,4,4,2,0,-10,8,ZQUEHQQHUQETUE,2140040,A,41279479,Pil,2026-07-03,N,NC,bal,NN-N-NMNNNN-NN
2,2026-06-26 20:00:00,94,Nations Cup,Guam,14.2434,15.0203,14.2434,12.2592,10.2904,10.0,17.5,18.0,19.25,13.75,14.5,13.75,8.0,10.75,Normal,0,0,3-5-2,3,5,2,1,-1,11,ZHEHEHTHTUQEPU,3000000,H,Cyprus,6.5,19.75,23.5,21.0,7.5,10.0,10.0,7.25,10.5,Counter-attacks,24,0,5-3-2,5,3,2,0,-10,9,ZTHPQPEQEQQQEQ,2000240100,A,41263672,Cyp,2026-06-26,N,NC,bal,NN-N-NMNNNN-NN
3,2026-06-19 20:00:00,94,Friendly,Guam,,,,,,3.25,14.25,13.25,13.25,11.0,13.5,11.25,6.5,9.25,Normal,0,0,3-5-2,3,5,2,2,10,7,UUEPEUQHUUHEHQ,0,A,Severna Makedonija,5.75,20.5,20.5,18.25,13.0,6.25,14.0,6.75,9.25,Counter-attacks,16,0,4-4-2,4,4,2,4,-10,9,ZZHEZPUQEZUUEU,44144,H,41235531,Sev,2026-06-19,N,F,att,NN-N-NNNNNN-NN
4,2026-06-12 20:00:00,94,Friendly,Guam,,,,,,9.25,18.0,17.0,17.0,12.5,12.5,13.25,8.25,11.25,Normal,0,0,3-5-2,3,5,2,1,0,11,ZHEHEHTUUUTEHQ,0,H,Lëtzebuerg,7.25,18.25,19.75,17.5,10.75,10.5,12.25,7.25,10.0,Normal,0,0,4-5-1,4,5,1,3,0,10,QTHEPHQPZHUWEE,4000,A,41191456,Lët,2026-06-12,N,F,bal,NN-N-NNNNNN-NN
5,2026-06-05 12:00:00,94,Asia and Oceania Cup,Guam,17.326,20.3039,12.7238,14.1103,11.8442,14.5,12.75,11.0,9.0,16.0,18.75,11.75,9.5,11.0,Play creatively,24,0,2-5-3,2,5,3,3,10,12,ZHEEUEQUUHTPHP,100103000,H,India,14.5,11.0,14.5,13.0,13.5,19.25,13.75,9.5,11.75,Normal,0,0,2-5-3,2,5,3,4,8,15,UEZEEUHUUHHHWH,1331103000,A,40818964,Ind,2026-06-05,PC,CC,AoA,NN--O-NNONMNNN
6,2026-05-29 12:00:00,94,Asia and Oceania Cup,Guam,17.714,18.7876,12.3461,15.2035,12.7618,17.0,14.0,12.75,9.75,16.5,17.5,11.5,9.0,11.25,Normal,0,0,2-5-3,2,5,3,2,10,11,ZHEEUEQUUHTWHW,100003000,A,Indonesia,16.25,17.0,18.5,17.75,13.75,12.25,13.25,8.75,12.0,Normal,0,0,3-5-2,3,5,2,4,0,13,ZUEUEPUUUHQUEP,0,H,40818944,Ind,2026-05-29,N,CC,AoA,NN--O-NNNNMNNN
7,2026-05-22 12:00:00,94,Asia and Oceania Cup,Guam,13.8393,15.4361,14.9038,13.876,11.6475,13.25,15.25,15.75,16.75,13.0,14.5,14.0,8.25,11.0,Normal,0,0,3-5-2,3,5,2,0,0,13,ZHEUEHTHUUQHEP,0,H,Prateh Kampuchea,12.75,17.75,18.75,18.25,13.75,14.25,13.5,6.5,10.25,Normal,0,0,3-5-2,3,5,2,1,0,14,ZTEPEZQUQQHWEH,3000300,A,40818923,Pra,2026-05-22,N,CC,bal,NN-N-NNNNNNN-N
8,2026-05-15 12:00:00,94,Asia and Oceania Cup,Guam,18.4036,19.4553,17.0891,11.806,9.9099,14.25,14.75,14.0,15.25,17.5,18.5,16.25,8.75,10.75,Normal,0,0,3-4-3,3,4,3,0,10,12,ZHEUEHTUEUQPQH,0,H,Dhivehi Raajje,9.0,26.25,26.25,22.0,14.5,12.0,7.25,8.75,12.25,Counter-attacks,24,0,5-3-2,5,3,2,1,-10,14,UQZHTZQHHEEEQU,400200000,A,40818902,Dhi,2026-05-15,N,CC,343,NN-N-NNN-NNNNN
9,2026-05-08 12:00:00,94,Asia and Oceania Cup,Guam,6.7691,4.9466,14.8399,9.6391,8.091,7.75,24.25,30.5,25.25,6.5,4.75,14.25,6.25,12.5,Counter-attacks,19,0,4-5-1,4,5,1,1,-10,12,ZUHEUHQUpHHEEQ,3000222404,A,Pakistan,14.0,16.0,13.5,15.75,14.5,17.0,17.0,10.25,11.5,Normal,0,0,2-5-3,2,5,3,2,0,15,QQEEEZHHHHQQPH,30040000,H,40818881,Pak,2026-05-08,CA,CC,otherca,NMN-NNDDDWN--W
10,2026-05-01 12:00:00,94,Asia and Oceania Cup,Guam,14.9445,16.303,12.7707,15.7172,13.193,16.0,15.75,15.25,16.25,13.75,15.0,11.75,8.25,11.75,Normal,0,0,3-5-2,3,5,2,5,10,11,ZHEPEUQUUHHHEW,103100300,A,India,15.5,10.5,14.5,13.5,12.0,19.75,15.5,8.75,10.5,Normal,0,0,2-5-3,2,5,3,1,6,14,UEZEEQUUHUHHPH,1330100000,H,40818859,Ind,2026-05-01,N,CC,att,NN-O-NMONNMN-N
11,2026-04-27 12:00:00,94,Asia and Oceania Cup,Guam,15.6327,17.2782,13.7129,13.6128,11.4266,17.25,15.25,15.75,16.5,14.25,15.75,12.5,8.0,11.5,Normal,0,0,3-5-2,3,5,2,0,10,12,ZHEUEUQUUHHHEP,3100300,H,Indonesia,11.5,20.25,23.5,20.5,12.0,11.0,11.5,8.25,11.75,Counter-attacks,19,0,4-4-2,4,4,2,0,-10,11,ZQQETUQUEHTUEW,300,A,40818839,Ind,2026-04-27,N,CC,att,NN-N-NMONNMN-N
12,2026-04-24 12:00:00,94,Asia and Oceania Cup,Guam,9.2865,9.2865,11.9398,14.5357,12.2013,12.0,23.0,24.75,22.0,8.75,8.75,11.25,7.75,12.5,Pressing,13,0,4-5-1,4,5,1,1,-10,11,ZUUEHHHUpUQEWE,2043302030,A,Prateh Kampuchea,12.5,17.0,17.25,18.25,14.75,17.75,15.0,7.0,9.75,Normal,0,0,3-4-3,3,4,3,4,0,13,ZHEHETHQEHHPQH,3003000,H,40818818,Pra,2026-04-24,Pr,CC,AoD,NDN-WMMNDNM-N-
13,2026-04-20 12:00:00,94,Asia and Oceania Cup,Guam,12.6038,11.8161,12.0787,11.9361,10.0191,9.0,22.75,24.75,22.25,12.0,11.25,11.5,7.25,11.75,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,12,ZHUEUUQUEUQHQE,0,A,Dhivehi Raajje,11.75,17.5,17.25,17.25,15.25,16.5,15.0,9.25,11.75,Normal,0,0,3-4-3,3,4,3,2,4,14,ZZEQEQQHEHQPQH,3003000,H,40818797,Dhi,2026-04-20,CA,CC,442ca,NNN-NNNN-NNNN-
14,2026-04-17 12:00:00,94,Asia and Oceania Cup,Guam,11.9127,13.9844,13.4665,14.0981,11.834,11.5,17.5,16.25,17.5,11.5,13.5,13.0,7.5,11.0,Normal,0,0,3-5-2,3,5,2,1,0,11,ZHEUEUHUUUQPQE,103000000,H,Pakistan,10.5,19.0,19.75,19.25,11.0,11.75,11.0,9.5,11.75,Normal,0,0,3-5-2,3,5,2,2,-10,14,ZZEZEPUTHHQHWE,3000300,A,40818776,Pak,2026-04-17,N,CC,bal,NN-O-NMNNNNNN-
15,2026-04-10 20:00:00,94,Friendly,Guam,,,,,,6.75,19.75,21.5,19.0,10.0,10.75,10.5,6.25,9.5,Counter-attacks,14,0,4-4-2,4,4,2,0,-10,7,ZUPEPHQUEQQUEU,0,H,Costa Rica,10.5,14.25,17.0,18.25,9.25,11.75,6.5,8.25,10.75,Normal,0,0,3-5-2,3,5,2,0,-10,10,ZZEQEZQUTQHQET,0,A,40833995,Cos,2026-04-10,CA,F,442ca,NNN-NNNN-NNN-N
16,2026-04-03 20:00:00,94,Friendly,Guam,,,,,,4.0,21.0,22.25,19.0,8.25,9.25,8.25,6.25,9.75,Counter-attacks,17,0,5-3-2,5,3,2,0,-10,7,ZTUPHHQEHEUHPE,0,H,Oceania,11.0,20.0,19.5,17.75,13.5,15.25,13.25,7.25,10.25,Normal,0,0,3-4-3,3,4,3,2,-10,13,ZHETEQUQEHUHWT,3003000,A,40798790,Oce,2026-04-03,CA,F,hardca,NNNNNNN-N-NNN-
