,Match Datetime,campaign,Competition,scaled midfield,sc_ra,sc_ca,sc_la,Team name,Midfield,Right defence,Central defence,Left defence,Right attack,Central attack,Left attack,ISP attack,ISP defence,Tactic,Tactic skill,Average goals,Formation,Defender_number,Mid_number,Forward_number,Actual goals,Style of play,Total exp,spex,Orders,HomeOrAway,Team name_,Midfield_,Right defence_,Central defence_,Left defence_,Right attack_,Central attack_,Left attack_,ISP attack_,ISP defence_,Tactic_,Tactic skill_,Average goals_,Formation_,Defender_number_,Mid_number_,Forward_number_,Actual goals_,Style of play_,Total exp_,spex_,Orders_,HomeOrAway_,id,Opponent,Match Date,Tactic short,Match Type,scaled_midfield,T_C,Indiv Order
10,2026-01-16 20:00:00+01:00,92,Nations Cup,8.1179,15.825,7.1932,16.3045,Liechtenstein,8.75,22.75,23.0,22.25,16.5,7.5,17.0,9.75,13.25,Counter-attacks,21,0,4-4-2,4,4,2,0,-10,13,ZHUEUUQTEHQQEQ,43044044.0,A,Jamaica,8.25,25.5,26.25,22.5,18.5,9.25,5.25,10.5,13.25,Counter-attacks,25,0,5-3-2,5,3,2,1,-10,13,ZHUPTUQHQEEHEQ,400210040,H,39851619,Jam,2026-01-16,CA,NC,8.117909846758014,442ca,NNN-WMNW-WNW-W
11,2026-01-09 20:00:00+01:00,92,Nations Cup,8.5827,16.7592,7.2866,16.2734,Liechtenstein,9.25,21.5,22.5,21.75,17.25,7.5,16.75,9.5,12.5,Counter-attacks,20,0,4-4-2,4,4,2,1,-9,13,ZQUEUUQHETHQEQ,43044044.0,A,Cameroon,9.5,21.75,22.75,21.0,16.75,8.75,14.0,8.5,11.75,Counter-attacks,18,0,4-4-2,4,4,2,0,-9,14,UTTEUUQUEUQQEQ,2002041044,H,39805702,Cam,2026-01-09,CA,NC,8.58272794489477,442ca,NNN-WMNW-WNW-W
12,2026-01-02 20:00:00+01:00,92,Nations Cup,9.0505,14.4436,8.9069,17.3324,Liechtenstein,9.75,22.0,23.5,22.75,15.0,9.25,18.0,9.5,12.75,Counter-attacks,19,0,4-4-2,4,4,2,0,-10,13,ZQUEUUQHETHEWQ,43044004.0,A,Kyrgyzstan,11.25,21.25,24.0,21.0,11.75,12.5,11.5,8.25,11.25,Counter-attacks,16,0,4-4-2,4,4,2,0,-10,16,UUHEUQUQEHQEHP,300300,H,39747555,Kyr,2026-01-02,CA,NC,9.050488117396988,442ca,NNN-WMNW-WN-NW
13,2025-12-26 20:00:00+01:00,92,Nations Cup,9.7622,12.4449,11.7128,11.7128,Liechtenstein,10.5,22.0,23.25,22.0,12.75,12.0,12.0,9.75,13.0,Counter-attacks,19,0,4-4-2,4,4,2,1,-10,13,ZUUEUQTUEHHHQE,3400010000.0,A,Dhivehi Raajje,13.0,21.5,22.75,24.0,11.25,12.25,12.75,8.75,12.0,Counter-attacks,19,0,4-4-2,4,4,2,0,-10,13,ZQTEQHQHEUQEQP,4300300,H,39714632,Dhi,2025-12-26,CA,NC,9.762177260774784,442ca,NMW-NNNO-NNNN-
14,2025-12-19 20:00:00+01:00,92,Nations Cup,13.3099,15.1297,19.0981,11.9053,Liechtenstein,14.25,15.25,14.0,11.5,15.25,19.25,12.0,9.5,11.25,Normal,0,0,2-5-3,2,5,3,5,0,11,ZUEEUEHUHUTQQW,131003000.0,A,Guatemala,15.0,16.75,15.25,16.5,13.75,15.75,12.5,9.0,11.5,Normal,0,0,3-5-2,3,5,2,3,-1,11,ZQEHEQPHHTUQEQ,103101300,H,39684737,Gua,2025-12-19,N,NC,13.309884027429696,bal,NN--O-MONNMNNN
15,2025-12-12 20:00:00+01:00,92,Nations Cup,12.2561,14.1236,19.2374,15.5847,Liechtenstein,13.0,15.25,12.25,15.25,14.5,19.75,16.0,9.75,11.5,Normal,0,0,2-5-3,2,5,3,2,0,12,ZUEEEQQHUUHWQQ,30103000.0,A,Misr,9.25,21.5,23.75,22.0,13.25,12.0,13.5,9.0,12.25,Counter-attacks,19,0,4-4-2,4,4,2,3,-10,14,ZHHEQTQQEZUQEH,0,H,39648688,Mis,2025-12-12,N,NC,12.25609030682549,bal,NN---NMNONMNNN
16,2025-12-05 20:00:00+01:00,92,Nations Cup,12.3088,13.2664,15.2318,13.0207,Liechtenstein,12.75,17.75,17.25,17.25,13.5,15.5,13.25,8.75,12.0,Normal,0,0,3-5-2,3,5,2,2,0,12,ZQEUEUHUUUQEQW,3001300.0,A,France,9.5,22.5,24.0,22.75,13.25,12.75,13.25,9.25,12.25,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,12,ZPPEHHHQEQUHEP,43000000,H,39494968,Fra,2025-12-05,N,NC,12.308793427311166,bal,NN-N-NMNNOM-NN
17,2025-11-28 20:00:00+01:00,92,Nations Cup,7.9115,12.25,13.0,12.75,Liechtenstein,9.25,21.0,21.75,20.75,12.25,13.0,12.75,8.5,11.75,Counter-attacks,18,0,4-4-2,4,4,2,1,-8,12,ZUQEUUHUEUHHEP,3400001000.0,H,Al Iraq,7.25,21.0,23.25,21.25,14.5,13.75,14.5,10.0,12.5,Counter-attacks,17,0,4-3-3,4,3,3,0,-6,11,ZHPEQQQEHEQHWQ,20000,A,39137275,Al ,2025-11-28,CA,NC,7.911534942376323,442ca,NMW-NNNN-ONN-N
18,2025-11-21 20:00:00+01:00,92,Nations Cup,10.5244,14.75,21.0,15.5,Liechtenstein,11.5,13.5,11.25,14.0,14.75,21.0,15.5,9.5,11.25,Normal,0,0,2-5-3,2,5,3,1,3,12,ZUEEEUQUHUHPQH,31013000.0,H,Azerbaycan,4.5,22.0,21.5,20.5,17.0,7.0,5.0,5.0,9.75,Counter-attacks,17,0,5-3-2,5,3,2,1,-10,8,ZUUQUUQQEpEQWE,404204240,A,39063255,Aze,2025-11-21,N,NC,10.524417159582583,bal,NN---NMONOMNNN
19,2025-11-14 20:00:00+01:00,92,Nations Cup,10.1839,14.0,18.5,14.25,Liechtenstein,10.25,16.25,14.25,15.0,14.0,18.5,14.25,9.0,11.0,Normal,0,0,3-4-3,3,4,3,1,0,11,ZUEUEUQUEUHPQH,103013000.0,H,Viá»‡t Nam,7.75,20.5,22.25,20.75,13.75,9.5,13.0,8.75,11.75,Counter-attacks,17,0,4-4-2,4,4,2,1,-10,11,ZUSEZHQHETZQEQ,44000,A,39042437,Viá»‡,2025-11-14,N,NC,10.18387265235158,343,NN-O-NMN-OMNNN
20,2025-11-07 20:00:00+01:00,92,Friendly,,,,,Liechtenstein,7.75,20.0,21.75,20.0,12.75,5.0,7.25,5.5,9.75,Normal,0,0,4-5-1,4,5,1,2,-10,8,UTHEZTQTUHQQEE,40034.0,A,Tounes,7.25,18.5,18.5,18.25,14.25,8.75,6.25,7.0,9.5,Play creatively,19,0,4-5-1,4,5,1,0,-10,9,ZQQETZUHPQUPEE,420204000,H,39006379,Tou,2025-11-07,N,F,,AoD,NNN-NNNWNNMW--
21,2025-10-31 20:00:00+01:00,92,Friendly,,,,,Liechtenstein,8.0,19.0,19.25,16.5,12.0,10.5,11.0,8.5,11.75,Normal,0,0,3-5-2,3,5,2,1,0,11,ZQETEUTUUHUEQW,10000.0,A,Osterreich,8.0,16.0,15.5,16.0,13.5,11.75,14.0,8.5,9.75,Normal,0,0,3-5-2,3,5,2,2,0,10,UUEUEUHQQUHUEP,40,H,38953150,Ost,2025-10-31,N,F,,bal,NN-N-NNNONN-NN
22,2025-10-24 20:00:00+02:00,92,Europe Cup,9.2107,12.1644,12.6933,12.1644,Liechtenstein,12.0,21.5,23.5,22.0,11.5,12.0,11.5,10.25,13.0,Counter-attacks,20,0,4-4-2,4,4,2,1,-10,12,ZQHEQUQQEQQEQH,10000.0,A,Turkiye,17.75,15.5,16.25,16.5,11.25,16.25,16.75,9.5,11.75,Normal,0,0,3-4-3,3,4,3,3,0,13,ZTETEQQEUTQQQP,3103110000,H,38539603,Tur,2025-10-24,CA,CC,9.210655951404576,442ca,NNN-NNNO-NN-NN
23,2025-10-17 20:00:00+02:00,92,Europe Cup,11.4397,13.338,16.0056,12.271,Liechtenstein,17.0,16.25,16.0,15.25,12.5,15.0,11.5,9.5,12.25,Normal,0,0,3-5-2,3,5,2,1,0,14,ZUEHEUHQUHQHEP,3010300.0,H,Severna Makedonija,17.0,13.25,16.75,15.0,14.0,14.25,7.5,8.5,11.5,Normal,0,0,3-5-2,3,5,2,2,5,13,ZHEPEHQHUpHEWH,1133112300,A,38539582,Sev,2025-10-17,N,CC,11.439667961643083,bal,NN-N-NMNONMN-N
24,2025-10-10 20:00:00+02:00,92,Europe Cup,8.859,16.1649,7.42,16.9599,Liechtenstein,8.75,22.0,23.25,21.75,15.25,7.0,16.0,9.25,12.5,Counter-attacks,20,0,4-4-2,4,4,2,0,-10,13,ZUQEHQQHEQQQEH,44044.0,A,Eesti,14.5,14.5,12.75,14.25,15.75,18.5,15.0,8.75,10.25,Normal,0,0,2-5-3,2,5,3,2,10,13,UQEEEUUHHUQQQP,30003000,H,38539557,Ees,2025-10-10,CA,CC,8.8589777735039,442ca,NNN-NNNW-WNW-W
25,2025-10-03 20:00:00+02:00,92,Europe Cup,8.0024,5.4747,4.6926,16.6847,Liechtenstein,10.0,28.25,27.5,26.0,5.25,4.5,16.0,8.5,13.5,Normal,0,0,5-4-1,5,4,1,1,-10,13,ZTHQHUQEQQQEEH,2004022414.0,A,Slovensko,16.25,17.75,16.25,13.75,15.5,17.25,16.5,11.5,13.25,Normal,0,0,2-5-3,2,5,3,4,3,17,ZUEUEEUHUHHQQU,30140000,H,38539532,Slo,2025-10-03,N,CC,8.00237166335693,AoD,NDNNWND-DWO--W
